City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Quijingue,BR,70.81,overcast clouds,-10.7525,-39.2092,Pousada Sabor Da Terra
2,Vaini,TO,84.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
3,Atuona,PF,79.65,clear sky,-9.8,-139.0333,Villa Enata
4,Kosamba,IN,78.71,clear sky,21.4833,72.95,Ajay nanjibhai chavda
7,Busselton,AU,59.31,broken clouds,-33.65,115.3333,Observatory Guest House
8,Bredasdorp,ZA,60.22,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
9,Olinda,BR,83.93,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
10,Saldanha,ZA,58.96,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
12,Cabo San Lucas,MX,88.9,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
13,Lengshuijiang,CN,53.29,moderate rain,27.6881,111.4294,Sheraton
14,Havelock,US,60.78,overcast clouds,34.8791,-76.9013,Sherwood Motel
15,Pombal,BR,77.5,moderate rain,-6.7703,-37.8017,Pousada Shalom
16,Yulara,AU,71.44,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
18,Padang,ID,75.25,moderate rain,-0.9492,100.3543,Mercure Padang
20,Ambilobe,MG,71.35,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
21,Cape Town,ZA,63.01,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
22,Isangel,VU,82.8,moderate rain,-19.55,169.2667,Tanna Lodge
23,Ancud,CL,55.22,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
25,Rikitea,PF,78.55,clear sky,-23.1203,-134.9692,People ThankYou
26,Comodoro Rivadavia,AR,62.46,clear sky,-45.8667,-67.5,Austral Hotel
27,Mataura,NZ,60.48,clear sky,-46.1927,168.8643,Ellie's Villa
30,Pisco,PE,65.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
32,Manoel Urbano,BR,72.54,scattered clouds,-8.8389,-69.2597,Baixada Beira Rio
34,Arraial Do Cabo,BR,73.47,clear sky,-22.9661,-42.0278,Pousada Porto Praia
36,Saint-Pierre,RE,73.29,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
37,Dunedin,NZ,60.8,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
38,Buala,SB,83.75,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
40,Atambua,ID,78.85,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
41,Bluff,NZ,60.8,few clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
42,Curup,ID,70.09,overcast clouds,-3.4667,102.5333,Ayi The Costel
43,Sabang,ID,83.08,overcast clouds,5.8933,95.3214,Hotel Citra
45,Carnarvon,AU,66.27,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
46,Puerto Ayora,EC,75.16,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
47,Sapouy,BF,87.37,overcast clouds,11.5544,-1.7736,Auberge St Louis
50,Lorengau,PG,83.37,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
52,Osmanabad,IN,81.21,scattered clouds,18.1667,76.05,Hotel Megh Malhar
55,Tres Picos,MX,84.54,broken clouds,15.8667,-93.5333,Tres picos Chiapas
59,Chuy,UY,62.26,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
61,Kapaa,US,80.58,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
62,Mae Hong Son,TH,75.34,mist,19.3003,97.9685,Baiyoke Chalet Hotel
64,Hilo,US,77.29,haze,19.7297,-155.09,Hilo Hawaiian Hotel
66,Port Elizabeth,ZA,64.31,heavy intensity rain,-33.918,25.5701,39 On Nile Guest House
69,San Patricio,US,84.92,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
71,Grand Gaube,MU,79.2,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
72,Saint George,US,85.62,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
74,Nelson Bay,AU,74.08,few clouds,-32.7167,152.15,Mantra Nelson Bay
79,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
80,Maceio,BR,78.24,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
81,Kununurra,AU,85.98,few clouds,-15.7667,128.7333,Hotel Kununurra
84,East London,ZA,64.62,broken clouds,-33.0153,27.9116,Tu Casa
85,Ginda,IN,57.36,broken clouds,30.6945,78.4932,Sunil Bisht
86,Port Blair,IN,80.8,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
87,Kovur,IN,79.68,scattered clouds,14.4833,79.9833,Hotel Yesh Park
88,Myitkyina,MM,67.14,broken clouds,25.3833,97.4,Shwe Phyu Hotel
91,Naliya,IN,77.68,scattered clouds,23.2667,68.8333,jadeja jayendrasinh
93,Plettenberg Bay,ZA,59.36,scattered clouds,-34.0527,23.3716,Thanda Vista B&B
94,Kikwit,CD,71.22,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
95,Muros,ES,57.83,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
96,Faanui,PF,80.96,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
97,New Norfolk,AU,55.92,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
98,Hobart,AU,60.03,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
99,Mayo,US,52.12,clear sky,38.8876,-76.5119,Resorts Resource Group International
104,Seoul,KR,56.77,overcast clouds,37.5683,126.9778,롯데호텔 서울
105,Sao Joao Da Barra,BR,69.94,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
108,Laguna,US,75.31,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
113,Torbay,CA,54.37,overcast clouds,47.6666,-52.7314,Gallows Cove
115,Christchurch,NZ,62.42,scattered clouds,-43.5333,172.6333,The George
118,Mount Gambier,AU,58.96,overcast clouds,-37.8333,140.7667,The Commodore
119,Naze,JP,70.72,scattered clouds,28.3667,129.4833,Shishime Hotel
120,Qui Nhon,VN,75.56,broken clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
121,Prince Rupert,CA,50.09,clear sky,54.3161,-130.3201,Crest Hotel
124,Rio Branco,BR,75.81,clear sky,-9.9747,-67.81,Hotel Guapindaia Bosque
125,Codrington,AU,60.06,light rain,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
126,Hualmay,PE,66.67,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
127,Coquimbo,CL,59.23,clear sky,-29.9533,-71.3436,Hotel San Juan
128,Bengkulu,ID,76.6,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
130,Ushtobe,KZ,59.97,broken clouds,45.2514,77.9838,Filipin Squad
131,Nouadhibou,MR,66.18,scattered clouds,20.931,-17.0347,El Medina
132,Constitucion,CL,51.66,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
134,Mackay,AU,79.68,clear sky,-21.15,149.2,International Lodge Motel
135,Mar Del Plata,AR,64.09,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
136,Mangochi,MW,69.82,few clouds,-14.4782,35.2645,Fort Johnstone Hotel
137,Palm Coast,US,75.29,moderate rain,29.585,-81.2078,Hammock Beach Golf Resort & Spa
139,San Vicente,AR,55.67,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
140,Mangrol,IN,78.57,clear sky,21.1167,70.1167,Hotel The Royal Honours
141,Ponta Delgada,PT,59.72,few clouds,37.7333,-25.6667,Vila Nova Hotel
142,Batemans Bay,AU,68.09,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
143,Praia,CV,70.16,clear sky,14.9215,-23.5087,LT Aparthotel
145,Saint-Philippe,RE,73.22,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
147,Hermanus,ZA,61.81,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
148,Bubaque,GW,75.16,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
149,Marawi,PH,73.99,overcast clouds,7.9986,124.2928,Derogongan Residence
150,Coihaique,CL,50.61,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
151,Hithadhoo,MV,82.87,broken clouds,-0.6,73.0833,Scoop Guest House
152,Te Anau,NZ,60.53,scattered clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
153,Port Alfred,ZA,60.19,few clouds,-33.5906,26.891,The Halyards Hotel
155,Pangkalanbuun,ID,78.62,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
156,Bajos De Haina,DO,75.16,overcast clouds,18.4154,-70.0332,Familia García Santana
157,Betafo,MG,58.78,few clouds,-19.8333,46.85,CHEZ MALALA
160,Hami,CN,53.91,clear sky,42.8,93.45,Laoyutang Resort
161,Kaitangata,NZ,57.06,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
162,Butaritari,KI,81.81,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
163,Acarau,BR,78.28,overcast clouds,-2.8856,-40.12,castelo pizzaria
164,Korhogo,CI,78.75,overcast clouds,9.45,-5.6333,Hôtel Tchinbota
166,Camopi,GF,73.08,light rain,3.1655,-52.3158,La pousada
170,Lichinga,MZ,66.29,broken clouds,-13.3128,35.2406,Residencial Bendiak
172,Kavaratti,IN,82.96,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
174,Tshikapa,CD,71.53,scattered clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
175,Zambezi,ZM,63.86,overcast clouds,-13.5432,23.1047,Royal Kutachika Lodge
176,Namatanai,PG,85.37,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
177,Mahebourg,MU,79.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
178,Lebu,CL,53.33,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
180,Bozhou,CN,58.26,overcast clouds,33.8772,115.7703,Haitian Hotel
182,Fortuna,US,58.93,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
183,Inhambane,MZ,72.39,light rain,-23.865,35.3833,Oceano
184,Vao,NC,76.98,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
190,Valparaiso,CL,56.48,scattered clouds,-33.0393,-71.6273,Hotel Ultramar
191,Vilhena,BR,68.54,broken clouds,-12.7406,-60.1458,Hotel Mirage
192,Port Macquarie,AU,74.89,few clouds,-31.4333,152.9167,Rydges Port Macquarie
193,Kavieng,PG,85.37,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
194,Lagoa,PT,56.97,broken clouds,39.05,-27.9833,Casa Das Faias
195,Akyab,MM,80.91,broken clouds,20.15,92.9,Hotel Memory
198,Castro,BR,52.02,clear sky,-24.7911,-50.0119,CHACARA BAILLY
199,Santa Rosa,PH,86.09,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
200,Navalmoral De La Mata,ES,61.3,overcast clouds,39.8916,-5.5406,Hotel Moya S A
