City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Yerbogachen,RU,2022-04-06 22:35:55,61.2767,108.0108,28.22,98,100,3.69
1,Beloha,MG,2022-04-06 22:35:57,-25.1667,45.05,72.07,94,22,1.57
2,New Norfolk,AU,2022-04-06 22:35:57,-42.7826,147.0587,51.93,69,0,2.06
3,Arraial Do Cabo,BR,2022-04-06 22:35:58,-22.9661,-42.0278,75.16,94,75,11.5
4,Domoni,KM,2022-04-06 22:35:58,-12.2569,44.5319,79.11,83,73,2.8
5,Ushuaia,AR,2022-04-06 22:35:58,-54.8,-68.3,40.66,70,40,23.02
6,Saint-Pierre,RE,2022-04-06 22:35:59,-21.3393,55.4781,78.48,81,100,17.27
7,Tuktoyaktuk,CA,2022-04-06 22:35:59,69.4541,-133.0374,12.2,73,75,9.22
8,College,US,2022-04-06 22:36:00,64.8569,-147.8028,42.75,48,75,10.36
9,Mataura,NZ,2022-04-06 22:36:00,-46.1927,168.8643,50.0,60,96,3.49
10,Longyearbyen,SJ,2022-04-06 22:36:00,78.2186,15.6401,10.24,72,0,16.11
11,Plettenberg Bay,ZA,2022-04-06 22:36:01,-34.0527,23.3716,56.98,78,67,15.88
12,Roald,NO,2022-04-06 22:36:01,62.5833,6.1333,33.75,80,0,11.5
13,Dikson,RU,2022-04-06 22:36:02,73.5069,80.5464,-1.53,98,99,15.23
14,Tigzirt,DZ,2022-04-06 22:36:02,36.8886,4.1198,54.88,81,81,15.35
15,Veraval,IN,2022-04-06 22:36:02,20.9,70.3667,78.62,70,40,12.1
16,Albany,US,2022-04-06 22:31:56,42.6001,-73.9662,56.05,83,100,3.8
17,Rikitea,PF,2022-04-06 22:31:26,-23.1203,-134.9692,78.75,69,56,10.87
18,Cape Town,ZA,2022-04-06 22:36:03,-33.9258,18.4232,57.61,76,40,4.61
19,George,ZA,2022-04-06 22:36:04,-33.963,22.4617,53.15,76,40,11.5
20,Tasiilaq,GL,2022-04-06 22:36:04,65.6145,-37.6368,24.96,95,82,5.12
21,Dunedin,NZ,2022-04-06 22:32:27,-45.8742,170.5036,51.8,56,89,11.99
22,Durazno,UY,2022-04-06 22:36:04,-33.4131,-56.5006,66.11,80,0,4.85
23,Qaanaaq,GL,2022-04-06 22:36:05,77.484,-69.3632,5.16,94,99,4.68
24,Pirapemas,BR,2022-04-06 22:36:05,-3.7267,-44.2233,73.42,99,99,2.73
25,Punta Arenas,CL,2022-04-06 22:34:03,-53.15,-70.9167,44.71,61,0,5.75
26,Hilo,US,2022-04-06 22:34:34,19.7297,-155.09,72.63,94,100,8.05
27,Avarua,CK,2022-04-06 22:36:06,-21.2078,-159.775,84.25,79,40,16.11
28,Esperance,AU,2022-04-06 22:36:06,-33.8667,121.9,60.64,82,69,11.56
29,Eyl,SO,2022-04-06 22:36:06,7.9803,49.8164,77.68,77,2,10.11
30,Kodiak,US,2022-04-06 22:36:07,57.79,-152.4072,38.71,81,100,12.66
31,Yarim,YE,2022-04-06 22:36:07,14.298,44.3779,55.15,16,0,5.19
32,Hobart,AU,2022-04-06 22:36:07,-42.8794,147.3294,52.27,85,0,6.91
33,Kurchum,KZ,2022-04-06 22:36:08,48.5722,83.6542,46.24,49,100,2.86
34,Surt,LY,2022-04-06 22:36:08,31.2089,16.5887,68.18,68,63,6.76
35,Huarmey,PE,2022-04-06 22:36:09,-10.0681,-78.1522,71.83,79,59,11.34
36,Natal,BR,2022-04-06 22:31:59,-5.795,-35.2094,80.82,89,40,8.05
37,Hirara,JP,2022-04-06 22:36:09,24.8,125.2833,64.67,82,20,5.75
38,Georgetown,MY,2022-04-06 22:33:11,5.4112,100.3354,78.73,98,20,2.3
39,Busselton,AU,2022-04-06 22:31:23,-33.65,115.3333,61.03,61,10,7.54
40,Kapoeta,SS,2022-04-06 22:36:10,4.7717,33.5903,85.19,39,30,17.63
41,Ternate,ID,2022-04-06 22:36:10,0.8,127.4,82.08,77,100,8.46
42,Butaritari,KI,2022-04-06 22:36:11,3.0707,172.7902,81.52,76,97,19.75
43,Lebu,CL,2022-04-06 22:36:11,-37.6167,-73.65,57.38,89,85,5.64
44,Hermanus,ZA,2022-04-06 22:37:12,-34.4187,19.2345,53.8,67,98,9.64
45,Kushiro,JP,2022-04-06 22:37:12,42.975,144.3747,36.55,60,75,2.3
46,Barrow,US,2022-04-06 22:37:13,71.2906,-156.7887,-9.38,70,0,8.05
47,Yingkou,CN,2022-04-06 22:37:13,40.6648,122.2283,41.52,64,44,14.45
48,Atuona,PF,2022-04-06 22:37:14,-9.8,-139.0333,79.38,75,11,15.5
49,Manmad,IN,2022-04-06 22:37:14,20.25,74.45,83.62,16,14,10.63
